index,PRECIO,FECHA
413,3.45,2017-05-26
412,3.435,2017-05-29
411,3.49,2017-05-30
410,3.505,2017-05-31
171,2.47,2017-06-01
319,2.52,2017-06-02
299,2.755,2017-06-03
276,3.0,2017-06-04
406,3.55,2017-06-06
384,3.58,2017-06-07
340,3.695,2017-06-09
488,4.44,2017-06-10
467,5.4,2017-06-11
445,5.85,2017-06-12
401,3.61,2017-06-13
400,3.735,2017-06-14
399,3.62,2017-06-15
398,3.645,2017-06-16
397,3.7,2017-06-19
396,3.7,2017-06-20
395,3.695,2017-06-21
394,3.705,2017-06-22
393,3.67,2017-06-23
392,3.715,2017-06-26
391,3.695,2017-06-27
390,3.745,2017-06-28
389,3.655,2017-06-29
388,3.59,2017-06-30
318,2.51,2017-07-02
298,2.75,2017-07-03
275,3.04,2017-07-04
405,3.53,2017-07-06
383,3.535,2017-07-07
362,3.635,2017-07-08
339,3.66,2017-07-09
509,3.66,2017-07-09
466,5.53,2017-07-11
444,5.62,2017-07-12
379,3.745,2017-07-13
378,3.75,2017-07-14
377,3.84,2017-07-17
376,3.79,2017-07-18
375,3.545,2017-07-19
374,3.615,2017-07-20
373,3.48,2017-07-21
372,3.4,2017-07-24
371,3.405,2017-07-25
370,3.405,2017-07-26
369,3.45,2017-07-27
368,3.52,2017-07-28
367,3.6,2017-07-31
317,2.45,2017-08-02
297,2.775,2017-08-03
257,3.435,2017-08-05
404,3.415,2017-08-06
361,3.685,2017-08-08
508,3.67,2017-08-09
465,5.52,2017-08-11
443,5.735,2017-08-12
357,3.75,2017-08-14
356,3.725,2017-08-15
355,3.82,2017-08-16
354,3.885,2017-08-17
353,3.79,2017-08-18
352,3.77,2017-08-21
351,3.885,2017-08-22
350,3.825,2017-08-23
349,3.77,2017-08-24
348,3.795,2017-08-25
347,3.75,2017-08-28
346,3.605,2017-08-29
345,3.7,2017-08-30
344,3.675,2017-08-31
170,2.48,2017-09-01
316,2.55,2017-09-02
296,2.815,2017-09-03
256,3.45,2017-09-05
403,3.515,2017-09-06
360,3.66,2017-09-08
487,4.64,2017-09-10
464,5.345,2017-09-11
505,3.95,2017-09-13
504,3.91,2017-09-14
503,3.925,2017-09-15
502,4.05,2017-09-18
501,4.095,2017-09-19
500,4.11,2017-09-20
499,4.125,2017-09-21
498,4.17,2017-09-22
497,4.22,2017-09-25
496,4.29,2017-09-26
495,4.335,2017-09-27
494,4.385,2017-09-28
493,4.4,2017-09-29
169,2.43,2017-10-01
338,2.43,2017-10-01
315,2.545,2017-10-02
295,2.845,2017-10-03
274,3.055,2017-10-04
255,3.44,2017-10-05
425,3.44,2017-10-05
382,3.57,2017-10-07
359,3.6,2017-10-08
486,4.59,2017-10-10
463,5.385,2017-10-11
483,4.625,2017-10-13
482,4.645,2017-10-16
481,4.655,2017-10-17
480,4.745,2017-10-18
479,4.675,2017-10-19
478,4.73,2017-10-20
477,4.775,2017-10-23
476,5.07,2017-10-24
475,4.75,2017-10-25
474,4.92,2017-10-26
473,4.885,2017-10-27
472,4.98,2017-10-30
471,4.98,2017-10-31
337,2.42,2017-11-01
273,3.035,2017-11-04
424,3.385,2017-11-05
381,3.57,2017-11-07
358,3.575,2017-11-08
507,3.825,2017-11-09
485,4.595,2017-11-10
442,5.65,2017-11-12
462,5.325,2017-11-13
461,5.295,2017-11-14
460,5.295,2017-11-15
459,5.325,2017-11-16
458,5.37,2017-11-17
457,5.525,2017-11-20
456,5.605,2017-11-21
455,5.62,2017-11-22
454,5.68,2017-11-23
453,5.675,2017-11-24
452,5.685,2017-11-27
451,5.555,2017-11-28
450,5.44,2017-11-29
449,5.49,2017-11-30
336,2.425,2017-12-01
272,3.015,2017-12-04
423,3.405,2017-12-05
402,3.505,2017-12-06
380,3.655,2017-12-07
506,3.87,2017-12-09
484,4.715,2017-12-10
441,5.605,2017-12-12
440,5.715,2017-12-13
439,5.655,2017-12-14
438,5.495,2017-12-15
437,5.66,2017-12-18
436,5.695,2017-12-19
435,5.585,2017-12-20
434,5.61,2017-12-21
433,5.6,2017-12-22
432,5.605,2017-12-27
431,5.59,2017-12-28
430,5.5,2017-12-29
573,5.245,2018-01-02
553,5.24,2018-01-03
658,6.9,2018-01-06
615,8.18,2018-01-08
741,8.76,2018-01-10
718,6.69,2018-01-11
586,5.45,2018-01-15
585,5.27,2018-01-16
584,5.285,2018-01-17
583,5.39,2018-01-18
582,5.48,2018-01-19
581,5.465,2018-01-22
580,5.4,2018-01-23
579,5.375,2018-01-24
578,5.33,2018-01-25
577,5.26,2018-01-26
576,5.275,2018-01-29
575,5.23,2018-01-30
574,5.175,2018-01-31
429,5.47,2018-02-01
572,5.125,2018-02-02
552,5.165,2018-02-03
512,6.66,2018-02-05
637,7.5,2018-02-07
614,8.08,2018-02-08
740,8.9,2018-02-10
717,6.395,2018-02-11
565,4.946,2018-02-13
564,5.005,2018-02-14
563,5.095,2018-02-15
562,5.08,2018-02-16
561,5.12,2018-02-19
560,5.25,2018-02-20
559,5.48,2018-02-21
558,5.1,2018-02-22
557,5.235,2018-02-23
556,5.22,2018-02-26
555,5.28,2018-02-27
554,5.385,2018-02-28
428,5.415,2018-03-01
532,6.18,2018-03-04
511,6.635,2018-03-05
636,7.51,2018-03-07
613,8.145,2018-03-08
761,8.09,2018-03-09
739,8.85,2018-03-10
696,5.7,2018-03-12
545,5.82,2018-03-13
544,5.955,2018-03-14
543,6.0,2018-03-15
542,6.295,2018-03-16
541,6.255,2018-03-19
540,6.42,2018-03-20
539,6.475,2018-03-21
538,6.32,2018-03-22
537,6.215,2018-03-23
536,6.12,2018-03-26
535,6.245,2018-03-27
534,6.145,2018-03-28
533,6.12,2018-03-29
427,5.51,2018-04-01
531,6.09,2018-04-04
510,6.8,2018-04-05
657,7.195,2018-04-06
635,7.655,2018-04-07
760,8.14,2018-04-09
738,8.935,2018-04-10
695,5.6,2018-04-12
524,6.19,2018-04-13
523,6.22,2018-04-16
522,6.25,2018-04-17
521,6.24,2018-04-18
520,6.265,2018-04-19
519,6.4,2018-04-20
518,6.445,2018-04-23
517,6.52,2018-04-24
516,6.32,2018-04-25
515,6.495,2018-04-26
514,6.45,2018-04-27
513,6.42,2018-04-30
592,5.52,2018-05-01
426,5.52,2018-05-01
571,5.205,2018-05-02
551,5.25,2018-05-03
530,6.34,2018-05-04
656,7.04,2018-05-06
634,7.89,2018-05-07
759,8.02,2018-05-09
737,8.935,2018-05-10
716,6.195,2018-05-11
694,5.535,2018-05-12
672,7.055,2018-05-14
671,7.145,2018-05-15
670,7.245,2018-05-16
669,7.215,2018-05-17
668,7.34,2018-05-18
667,7.255,2018-05-21
666,7.11,2018-05-22
665,7.01,2018-05-23
664,6.92,2018-05-24
663,6.865,2018-05-25
662,6.9,2018-05-28
661,6.665,2018-05-29
660,6.77,2018-05-30
659,6.74,2018-05-31
570,5.26,2018-06-02
550,5.27,2018-06-03
529,6.19,2018-06-04
655,7.215,2018-06-06
633,8.065,2018-06-07
612,8.24,2018-06-08
758,7.91,2018-06-09
715,6.3,2018-06-11
693,5.365,2018-06-12
650,7.585,2018-06-13
649,7.575,2018-06-14
648,7.54,2018-06-15
647,7.525,2018-06-18
646,7.2,2018-06-19
645,7.215,2018-06-20
644,7.015,2018-06-21
643,7.32,2018-06-22
642,7.21,2018-06-25
641,7.25,2018-06-26
640,7.38,2018-06-27
639,7.395,2018-06-28
638,7.6,2018-06-29
569,5.225,2018-07-02
549,5.38,2018-07-03
677,6.86,2018-07-05
654,7.105,2018-07-06
611,8.32,2018-07-08
757,7.86,2018-07-09
714,6.485,2018-07-11
692,5.38,2018-07-12
628,8.16,2018-07-13
627,8.035,2018-07-16
626,8.01,2018-07-17
625,7.995,2018-07-18
624,7.87,2018-07-19
623,7.655,2018-07-20
622,7.71,2018-07-23
621,7.85,2018-07-24
620,8.32,2018-07-25
619,8.36,2018-07-26
618,8.285,2018-07-27
617,8.34,2018-07-30
616,8.07,2018-07-31
591,5.68,2018-08-01
568,4.958,2018-08-02
548,5.64,2018-08-03
676,6.9,2018-08-05
653,7.15,2018-08-06
610,8.295,2018-08-08
736,8.93,2018-08-10
713,6.25,2018-08-11
607,8.225,2018-08-13
606,8.0,2018-08-14
605,7.785,2018-08-15
604,7.95,2018-08-16
603,7.855,2018-08-17
602,8.02,2018-08-20
601,8.075,2018-08-21
600,8.16,2018-08-22
599,8.26,2018-08-23
598,8.15,2018-08-24
597,8.14,2018-08-27
596,8.175,2018-08-28
595,8.225,2018-08-29
594,8.125,2018-08-30
593,8.085,2018-08-31
590,5.68,2018-09-01
567,4.912,2018-09-02
547,5.695,2018-09-03
528,6.145,2018-09-04
675,7.055,2018-09-05
632,8.085,2018-09-07
609,8.345,2018-09-08
735,8.485,2018-09-10
712,6.23,2018-09-11
753,7.84,2018-09-13
752,7.81,2018-09-14
751,8.18,2018-09-17
750,8.3,2018-09-18
749,8.34,2018-09-19
748,8.58,2018-09-20
747,8.57,2018-09-21
746,8.735,2018-09-24
745,8.775,2018-09-25
744,8.83,2018-09-26
743,8.83,2018-09-27
742,8.75,2018-09-28
589,5.625,2018-10-01
527,6.105,2018-10-04
674,7.05,2018-10-05
631,8.285,2018-10-07
608,8.33,2018-10-08
756,7.845,2018-10-09
734,7.5,2018-10-10
691,5.37,2018-10-12
731,7.19,2018-10-15
730,7.435,2018-10-16
729,7.525,2018-10-17
728,7.5,2018-10-18
727,7.52,2018-10-19
726,7.495,2018-10-22
725,7.13,2018-10-23
724,7.265,2018-10-24
723,7.45,2018-10-25
722,7.38,2018-10-26
721,7.41,2018-10-29
720,7.43,2018-10-30
719,7.425,2018-10-31
588,5.59,2018-11-01
526,6.055,2018-11-04
673,7.045,2018-11-05
652,7.29,2018-11-06
630,8.07,2018-11-07
755,7.91,2018-11-09
733,7.3,2018-11-10
690,5.595,2018-11-12
710,5.915,2018-11-13
709,5.9,2018-11-14
708,5.78,2018-11-15
707,5.965,2018-11-16
706,6.0,2018-11-19
705,5.76,2018-11-20
704,5.89,2018-11-21
703,5.685,2018-11-22
702,5.48,2018-11-23
701,5.61,2018-11-26
700,5.54,2018-11-27
699,5.46,2018-11-28
698,5.5,2018-11-29
697,5.57,2018-11-30
587,5.555,2018-12-01
566,5.14,2018-12-02
546,5.88,2018-12-03
525,6.17,2018-12-04
651,7.26,2018-12-06
629,8.225,2018-12-07
754,8.035,2018-12-09
732,7.3,2018-12-10
711,5.93,2018-12-11
689,5.82,2018-12-12
688,5.755,2018-12-13
687,5.69,2018-12-14
686,5.46,2018-12-17
685,5.325,2018-12-18
684,5.395,2018-12-19
683,5.275,2018-12-20
682,5.195,2018-12-21
681,5.37,2018-12-24
680,5.19,2018-12-27
679,5.3,2018-12-28
678,5.485,2018-12-31
